epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.363,1.95826,2.65843,1.80384,0.2868,0.26039,0.17442,0.06673,2.05644,2.66741,1.91148,0.000332945,0.000332945,0.0670384
2,563.653,1.93434,2.45994,1.78746,0.29624,0.27845,0.21996,0.08779,1.98861,2.36857,1.89197,0.000653086,0.000653086,0.0340252
3,836.96,1.90667,2.36179,1.74605,0.37641,0.32338,0.2691,0.10445,1.91735,2.20472,1.79213,0.000960027,0.000960027,0.000998832
4,1108.72,1.83964,2.2572,1.69195,0.43113,0.34254,0.31635,0.13818,1.86834,2.03836,1.70889,0.0009406,0.0009406,0.0009406
5,1379.23,1.79066,2.14132,1.67085,0.48552,0.36567,0.37752,0.17583,1.79586,1.89868,1.66435,0.0009208,0.0009208,0.0009208
6,1653.69,1.75119,2.05364,1.62819,0.45187,0.41275,0.39273,0.18069,1.78356,1.84616,1.6637,0.000901,0.000901,0.000901
7,1926.99,1.73224,1.98819,1.60446,0.49927,0.424,0.41654,0.19115,1.73592,1.83738,1.62054,0.0008812,0.0008812,0.0008812
8,2201.55,1.69952,1.92073,1.58022,0.50507,0.45803,0.4465,0.20953,1.71832,1.74433,1.61432,0.0008614,0.0008614,0.0008614
9,2473.76,1.67814,1.87013,1.56706,0.55674,0.44431,0.47176,0.23251,1.67726,1.67267,1.56786,0.0008416,0.0008416,0.0008416
10,2745.63,1.65911,1.82418,1.55073,0.53925,0.4909,0.48597,0.24456,1.67276,1.66653,1.55455,0.0008218,0.0008218,0.0008218
11,3019.09,1.64063,1.79204,1.53534,0.563,0.4912,0.50836,0.25464,1.64657,1.57032,1.55271,0.000802,0.000802,0.000802
12,3291.57,1.61287,1.73503,1.5118,0.59257,0.48731,0.52948,0.26817,1.64521,1.55385,1.52001,0.0007822,0.0007822,0.0007822
13,3565.06,1.60425,1.72563,1.51318,0.62774,0.50705,0.56236,0.282,1.61577,1.47524,1.52115,0.0007624,0.0007624,0.0007624
14,3837.89,1.58595,1.67175,1.49252,0.58107,0.49819,0.54528,0.27905,1.60358,1.45487,1.51125,0.0007426,0.0007426,0.0007426
15,4110.41,1.56723,1.62804,1.47837,0.60631,0.5169,0.58166,0.30355,1.57808,1.40133,1.48368,0.0007228,0.0007228,0.0007228
16,4384.75,1.55713,1.58837,1.46373,0.6184,0.53452,0.57754,0.2987,1.56951,1.39359,1.4666,0.000703,0.000703,0.000703
17,4657.44,1.54291,1.5628,1.45343,0.61602,0.55599,0.60622,0.31908,1.55435,1.36268,1.45939,0.0006832,0.0006832,0.0006832
18,4931.26,1.52136,1.53044,1.44368,0.61527,0.58126,0.61309,0.33065,1.54812,1.31011,1.4522,0.0006634,0.0006634,0.0006634
19,5203.3,1.50798,1.50212,1.43212,0.62427,0.59754,0.62462,0.33132,1.52548,1.28151,1.43424,0.0006436,0.0006436,0.0006436
20,5474.43,1.49168,1.464,1.42063,0.62484,0.62143,0.65209,0.34905,1.50545,1.23484,1.41916,0.0006238,0.0006238,0.0006238
21,5745.49,1.49194,1.44691,1.42016,0.65447,0.60625,0.65698,0.35958,1.48622,1.20162,1.41573,0.000604,0.000604,0.000604
22,6016.24,1.47155,1.41443,1.3992,0.70694,0.59277,0.66613,0.36916,1.4736,1.18863,1.40104,0.0005842,0.0005842,0.0005842
23,6286.79,1.45576,1.38897,1.38727,0.70364,0.61747,0.69016,0.38823,1.46427,1.15843,1.38985,0.0005644,0.0005644,0.0005644
24,6557.91,1.43502,1.3567,1.37662,0.69683,0.63708,0.69289,0.38836,1.44461,1.1324,1.37606,0.0005446,0.0005446,0.0005446
25,6831.25,1.42903,1.33329,1.3709,0.72165,0.64454,0.70087,0.39363,1.43045,1.12198,1.36671,0.0005248,0.0005248,0.0005248
26,7105.13,1.41437,1.29723,1.36051,0.72271,0.6302,0.69855,0.40093,1.41528,1.09969,1.36129,0.000505,0.000505,0.000505
27,7377.35,1.40509,1.28632,1.3527,0.70597,0.65737,0.71191,0.39734,1.42417,1.07401,1.36187,0.0004852,0.0004852,0.0004852
28,7648.44,1.39073,1.2605,1.34028,0.73561,0.64291,0.72836,0.41637,1.40525,1.05241,1.35637,0.0004654,0.0004654,0.0004654
29,7923.36,1.37927,1.24438,1.33211,0.72974,0.66127,0.7413,0.43267,1.386,1.02783,1.3332,0.0004456,0.0004456,0.0004456
30,8196.53,1.36347,1.21693,1.32127,0.74202,0.65782,0.73731,0.43135,1.37833,1.01582,1.32848,0.0004258,0.0004258,0.0004258
31,8473.14,1.35342,1.19954,1.31306,0.73953,0.6846,0.74821,0.43957,1.35954,0.99191,1.31339,0.000406,0.000406,0.000406
32,8747.04,1.33605,1.17639,1.30307,0.75039,0.67127,0.7499,0.44619,1.35491,0.98713,1.30931,0.0003862,0.0003862,0.0003862
33,9019.6,1.32555,1.15759,1.29694,0.76674,0.6666,0.75409,0.452,1.33961,0.96374,1.29976,0.0003664,0.0003664,0.0003664
34,9291.7,1.29945,1.1242,1.28015,0.78745,0.67044,0.7612,0.45602,1.33957,0.94881,1.30369,0.0003466,0.0003466,0.0003466
35,9562.63,1.29477,1.11306,1.27339,0.75883,0.69515,0.76383,0.46699,1.30781,0.93078,1.27825,0.0003268,0.0003268,0.0003268
36,9835.64,1.27668,1.08116,1.2616,0.79411,0.67542,0.76902,0.46708,1.31532,0.9123,1.27957,0.000307,0.000307,0.000307
